category,sub_category,language,phrase_text,intent_description
clarification,repeat_amount,om,"Dhiifama, hamma maallaqa liqii barbaaddan irra deebitanii nuu himuu dandeessuu?","Clarifying ambiguous loan amount in Oromo"
clarification,repeat_amount,en,"Could you please repeat or clarify the exact loan amount in Ethiopian Birr?","Clarifying ambiguous loan amount in English"
clarification,confirm_location,am,"የስራ ቦታዎ በትክክል የት አካባቢ እንደሆነ በድጋሚ ያረጋግጡልን?","Confirming shop/facility address in Amharic"
clarification,confirm_location,om,"Iddoon hojii keessan sirriitti eessa akka ta'e irra deebi'aa nuu mirkaneessaa?","Confirming shop/facility address in Oromo"
clarification,confirm_location,en,"Could you confirm the exact neighborhood or street landmark of your facility?","Confirming shop/facility address in English"
missing_information,prompt_sales,am,"እስካሁን የወር ወይም የዓመት የገቢ መጠንዎን አልገለጹልንም፤ በወር በአማካይ ምን ያህል ብር ያስገባሉ?","Prompting for missing revenue in Amharic"
missing_information,prompt_sales,om,"Hamma galii ji'aa keessanii hin ibsine; giddugaleessaan ji'atti Birrii meeqa argattu?","Prompting for missing revenue in Oromo"
missing_information,prompt_sales,en,"We haven't noted your revenue yet; what is your typical monthly income?","Prompting for missing revenue in English"
missing_information,prompt_machinery,am,"ለስራ የሚጠቀሙባቸው ማሽኖች ወይም ቁሳቁሶች ካሉዎት እባክዎ ይጥቀሱልን።","Prompting for missing equipment in Amharic"
missing_information,prompt_machinery,om,"Meeshaalee ykn maashinoota hojiif itti fayyadamtamu qabdu yoo ta'e nuu ibsaa.","Prompting for missing equipment in Oromo"
missing_information,prompt_machinery,en,"Please mention any physical machinery or productive equipment you operate.","Prompting for missing equipment in English"
evidence_requests,kebele_id,am,"የብድር ማመልከቻዎን ለማጠናቀቅ የቀበሌ መታወቂያ እና የታደሰ የንግድ ፈቃድ ማቅረብ ይጠበቅብዎታል።","Explaining evidence requirements in Amharic"
evidence_requests,kebele_id,om,"Iyyannoo kana xumuruuf waraqaa eenyummaa gandaa fi heeyyama daldalaa qopheessuun barbaachisaadha.","Explaining evidence requirements in Oromo"
evidence_requests,kebele_id,en,"Please note that a Kebele national ID and physical premises verification will be required before disbursement.","Explaining evidence requirements in English"
evidence_requests,site_visit,am,"የብድር መኮንኖቻችን ዎርክሾፕዎን በአካል መጥተው ለመጎብኘት ቀጠሮ ይይዛሉ።","Informing about physical field visit in Amharic"
evidence_requests,site_visit,om,"Ogeessi liqii keenya iddoo hojii keessan daawwachuuf bilbilaan isin qunnama.","Informing about physical field visit in Oromo"
evidence_requests,site_visit,en,"A field credit officer will schedule an on-site visit to inspect your equipment.","Informing about physical field visit in English"
closing,completed_success,am,"እናመሰግናለን! የንግድ ስራ ማመልከቻዎ በተሟላ ሁኔታ ተመዝግቧል። የብድር ውሳኔውን በስልክዎ በአጭር የጽሁፍ መልዕክት (SMS) እንልክልዎታለን።","Final closing and confirmation in Amharic"
closing,completed_success,om,"Galatoomaa! Iyyannoon daldala keessanii guutummaatti galmaa'eera. Murtee liqii ergaa gabaabaa (SMS) bilbila keessaniin isiniif ergina.","Final closing and confirmation in Oromo"
closing,completed_success,en,"Thank you! Your business funding application has been recorded and submitted to underwriting. You will receive an SMS confirmation shortly.","Final closing and confirmation in English"
